"tagID","tagProjectID","dateBin","mfgID","period","tagDeployID","utcYearStart","utcMonthStart","utcDayStart","utcHourStart","utcMinuteStart","utcYearEnd","utcMonthEnd","utcDayEnd","utcHourEnd","utcMinuteEnd","deferSec","speciesName","bandNumber","markerNumber","markerType","decimalLatitude","decimalLongitude","elevationMeters","sex","age","weightGrams","wingMillimeters","tarsusMillimeters","culmenMillimeters","billMillimeters","headMillimeters","fatScore","comments","test"
"33211","4","2019-1","31","10.901000022888184","21605","2019","5","6","17","30","","","","","","0.0","Calidris canutus","1262-02154","PLH","Dk GRN flag","32.55030000","-80.19540000","1.0","U","ad","157.0","","","","","","","","false"
"33212","4","2019-1","32","10.900799751281738","21606","2019","5","6","17","30","","","","","","0.0","Calidris canutus","1262-02148","PLP","Dk GRN flag","32.55030000","-80.19540000","1.0","U","ad","138.0","","","","","","","","false"
"33213","4","2019-1","33","10.900899887084961","21607","2019","5","6","17","30","","","","","","0.0","Calidris canutus","1262-04508","PPN","Dk GRN flag","32.55030000","-80.19540000","1.0","U","ad","150.0","","","","","","","","false"
"33214","4","2019-1","34","10.901000022888184","21608","2019","5","6","17","30","","","","","","0.0","Calidris canutus","1262-02155","PLT","Dk GRN flag","32.55030000","-80.19540000","1.0","U","ad","148.0","","","","","","","","false"
"33215","4","2019-1","35","10.901100158691406","21609","2019","5","6","17","30","","","","","","0.0","Calidris canutus","1262-02149","PLK","Dk GRN flag","32.55030000","-80.19540000","1.0","U","ad","141.0","","","","","","","","false"
"33216","4","2019-1","36","10.900899887084961","21610","2019","5","6","17","30","","","","","","0.0","Calidris canutus","1262-04505","PPJ","Dk GRN flag","32.55030000","-80.19540000","1.0","U","ad","118.0","","","","","","","","false"
"33217","4","2019-1","37","10.900899887084961","21611","2019","5","6","17","30","","","","","","0.0","Calidris canutus","1262-02152","PLM","Dk GRN flag","32.55030000","-80.19540000","1.0","U","ad","133.0","","","","","","","","false"
"33218","4","2019-1","38","10.901000022888184","21612","2019","5","6","17","30","","","","","","0.0","Calidris canutus","1262-04506","PPY","Dk GRN flag","32.55030000","-80.19540000","1.0","U","ad","149.0","","","","","","","","false"
"33219","4","2019-1","39","10.901000022888184","21613","2019","5","6","17","30","","","","","","0.0","Calidris canutus","1262-02153","PLN","Dk GRN flag","32.55030000","-80.19540000","1.0","U","ad","127.0","","","","","","","","false"
"33220","4","2019-1","40","10.900799751281738","21614","2019","5","6","17","30","","","","","","0.0","Calidris canutus","1262-02145","PLA","Dk GRN flag","32.55030000","-80.19540000","1.0","U","AHY","127.0","","","","","","","","false"
