mfgID,motusTagID,tagDeployID,site_date,runID,antBin,pulseCount,numHits,runLen,longRun,inspectFlag,keep
363,28510,19662,Moosonee: 2018-05-27,65004697,S,60566,31,24,18,High hourly pulse count,TRUE
13,33193,21587,Rondeau Provincial Park: 2019-05-29,49745743,S,155,5,5,2,SG: <3 consecutive bursts,TRUE
13,33193,21587,Rondeau Provincial Park: 2019-05-29,68291027,S,155,5,5,2,SG: <3 consecutive bursts,FALSE
13,33193,21587,St.Clair NWA: 2019-05-29,59372271,S,NA,46,5,2,SG: <3 consecutive bursts,TRUE
13,33193,21587,St.Clair NWA: 2019-05-29,75984908,S,NA,46,5,2,SG: <3 consecutive bursts,FALSE
13,33193,21587,St. Helen: 2019-05-29,58180226,(Missing),72,14,5,1,Lotek/CTT: <2 consecutive bursts,TRUE
13,33193,21587,St. Helen: 2019-05-29,85606010,(Missing),72,14,5,1,Lotek/CTT: <2 consecutive bursts,FALSE
13,33193,21587,St. Helen: 2019-05-29,58180227,(Missing),72,14,4,1,Lotek/CTT: <2 consecutive bursts,TRUE
13,33193,21587,St. Helen: 2019-05-29,85606011,(Missing),72,14,4,1,Lotek/CTT: <2 consecutive bursts,FALSE
45,33225,21619,Hillman_Marsh: 2019-05-26,58142414,S,279,11,8,4,hit with high freqSD,TRUE
45,33225,21619,Hillman_Marsh: 2019-05-26,74131295,S,279,11,8,4,hit with high freqSD,FALSE
45,33225,21619,Hillman_Marsh: 2019-05-26,58142417,S,279,11,3,3,median freqsd of run > 0.05 kHz,TRUE
45,33225,21619,Hillman_Marsh: 2019-05-26,74131298,S,279,11,3,3,median freqsd of run > 0.05 kHz,FALSE
45,33225,21619,Pointe Mouillee: 2019-05-26,59392768,N,20,9,6,1,Lotek/CTT: <2 consecutive bursts,TRUE
45,33225,21619,Pointe Mouillee: 2019-05-26,76008740,N,20,9,6,1,Lotek/CTT: <2 consecutive bursts,FALSE
46,33226,21620,Long_Point_Tip: 2019-05-23,55111302,N,249,6,6,2,SG: <3 consecutive bursts,TRUE
46,33226,21620,Long_Point_Tip: 2019-05-23,71369148,N,NA,NA,6,2,SG: <3 consecutive bursts,FALSE
46,33226,21620,Long_Point_Tip: 2019-05-23,85932690,N,249,6,6,2,SG: <3 consecutive bursts,FALSE
46,33226,21620,South Tawas: 2019-05-24,58255374,(Missing),199,93,93,11,excessive burstSlop,TRUE
46,33226,21620,South Tawas: 2019-05-24,78726159,(Missing),199,93,93,11,excessive burstSlop,FALSE
46,33226,21620,Mack Lake: 2019-05-24,61382651,(Missing),NA,91,91,31,excessive burstSlop,TRUE
46,33226,21620,Piskwamish: 2019-05-25,54634674,N,81,15,13,12,excessive burstSlop,TRUE
46,33226,21620,Piskwamish: 2019-05-25,70414003,N,81,15,13,12,excessive burstSlop,FALSE
46,33226,21620,Piskwamish: 2019-05-25,54634672,E,206,46,22,17,excessive burstSlop,TRUE
46,33226,21620,Piskwamish: 2019-05-25,54634673,S,189,38,21,17,excessive burstSlop,TRUE
46,33226,21620,Piskwamish: 2019-05-25,70414001,E,206,46,22,17,excessive burstSlop,FALSE
46,33226,21620,Piskwamish: 2019-05-25,70414002,S,189,38,21,17,excessive burstSlop,FALSE
46,33226,21620,Burntpoint: 2019-06-07,58208624,E,1350,50,23,17,excessive burstSlop,TRUE
46,33226,21620,Burntpoint: 2019-06-07,72183700,E,1350,50,23,17,excessive burstSlop,FALSE
46,33226,21620,Burntpoint: 2019-06-07,58208628,W,542,37,18,17,excessive burstSlop,TRUE
46,33226,21620,Burntpoint: 2019-06-07,72183704,W,542,37,18,17,excessive burstSlop,FALSE
47,33227,21621,West Port Bruce: 2019-05-26,61374276,S,245,10,8,2,SG: <3 consecutive bursts,TRUE
47,33227,21621,Auzins: 2019-05-26,43307953,E,66,10,10,2,SG: <3 consecutive bursts,TRUE
47,33227,21621,Auzins: 2019-05-26,65857470,E,66,10,10,2,SG: <3 consecutive bursts,FALSE
47,33227,21621,Pinery_Provincial_Park: 2019-05-26,42417078,E,292,57,57,35,excessive burstSlop,TRUE
47,33227,21621,Pinery_Provincial_Park: 2019-05-26,63224079,E,292,57,57,35,excessive burstSlop,TRUE
47,33227,21621,Pinery_Provincial_Park: 2019-05-26,67698312,E,292,57,57,35,excessive burstSlop,FALSE
47,33227,21621,Pinery_Provincial_Park: 2019-05-26,42417079,W,460,18,18,16,excessive burstSlop,TRUE
47,33227,21621,Pinery_Provincial_Park: 2019-05-26,63224080,W,460,18,18,16,excessive burstSlop,TRUE
47,33227,21621,Pinery_Provincial_Park: 2019-05-26,67698313,W,460,18,18,16,excessive burstSlop,FALSE
47,33227,21621,Pinery_Provincial_Park: 2019-05-26,42417080,N,727,18,18,18,excessive burstSlop,TRUE
47,33227,21621,Pinery_Provincial_Park: 2019-05-26,63224081,N,727,18,18,18,excessive burstSlop,TRUE
47,33227,21621,Pinery_Provincial_Park: 2019-05-26,67698314,N,727,18,18,18,excessive burstSlop,FALSE
47,33227,21621,Grève de Tadoussac: 2019-11-09,91811752,(Missing),82954,6960,4,1,median freqsd of run > 0.05 kHz,FALSE
47,33227,21621,Grève de Tadoussac: 2019-11-09,91812488,(Missing),82954,6960,4,1,median freqsd of run > 0.05 kHz,FALSE
47,33227,21621,Grève de Tadoussac: 2019-11-09,91813619,(Missing),144537,7240,4,1,median freqsd of run > 0.05 kHz,FALSE
47,33227,21621,Grève de Tadoussac: 2019-11-10,91816340,(Missing),157458,2881,3,3,median freqsd of run > 0.05 kHz,FALSE
47,33227,21621,Grève de Tadoussac: 2019-11-10,91816776,(Missing),157458,2881,6,4,median freqsd of run > 0.05 kHz,FALSE
47,33227,21621,Grève de Tadoussac: 2019-11-15,91819544,(Missing),16868,5375,12,3,median freqsd of run > 0.05 kHz,FALSE
47,33227,21621,Grève de Tadoussac: 2019-11-15,91820767,(Missing),16868,5375,3,3,median freqsd of run > 0.05 kHz,FALSE
47,33227,21621,Grève de Tadoussac: 2019-11-16,91821031,(Missing),46800,965,4,3,median freqsd of run > 0.05 kHz,FALSE
47,33227,21621,Grève de Tadoussac: 2019-11-16,91821678,(Missing),26230,5000,3,3,median freqsd of run > 0.05 kHz,FALSE
47,33227,21621,Grève de Tadoussac: 2019-11-16,91821925,(Missing),26230,5000,4,2,median freqsd of run > 0.05 kHz,FALSE
47,33227,21621,Grève de Tadoussac: 2019-11-16,91822159,(Missing),26230,5000,4,2,median freqsd of run > 0.05 kHz,FALSE
47,33227,21621,Grève de Tadoussac: 2019-11-16,91823259,(Missing),26230,5000,5,4,median freqsd of run > 0.05 kHz,FALSE
47,33227,21621,Port Mouton: 2019-11-16,58189711,E,142164,835,4,1,median freqsd of run > 0.05 kHz,FALSE
47,33227,21621,Port Mouton: 2019-11-16,74139236,E,142164,834,4,1,median freqsd of run > 0.05 kHz,FALSE
48,33228,21622,Hopewell Rocks: 2019-08-04,55888949,E,553,211,9,4,median freqsd of run > 0.05 kHz,TRUE
48,33228,21622,Hopewell Rocks: 2019-08-04,71960815,E,553,211,9,4,median freqsd of run > 0.05 kHz,FALSE
49,33229,21623,Garden: 2019-05-25,49728788,W,3475,3,3,3,run length of 3,TRUE
49,33229,21623,Garden: 2019-05-25,90985557,W,3475,3,3,3,run length of 3,FALSE
49,33229,21623,West Port Bruce: 2019-05-26,61374283,E,30,17,4,2,SG: <3 consecutive bursts,TRUE
49,33229,21623,Auzins: 2019-05-26,43307950,W,40,59,15,10,excessive burstSlop,TRUE
49,33229,21623,Auzins: 2019-05-26,65857467,W,40,59,15,10,excessive burstSlop,FALSE
49,33229,21623,Auzins: 2019-05-26,43307951,W,40,59,7,4,excessive burstSlop,TRUE
49,33229,21623,Auzins: 2019-05-26,65857468,W,40,59,7,4,excessive burstSlop,FALSE
49,33229,21623,Pinery_Provincial_Park: 2019-05-26,42417076,N,570,8,8,7,hit with high freqSD,TRUE
49,33229,21623,Pinery_Provincial_Park: 2019-05-26,63224077,N,570,8,8,7,hit with high freqSD,TRUE
49,33229,21623,Pinery_Provincial_Park: 2019-05-26,67698310,N,570,8,8,7,hit with high freqSD,FALSE
50,33230,21624,Cambridge_RARE: 2019-05-27,50766853,S,3,4,4,1,SG: <3 consecutive bursts,TRUE
50,33230,21624,Cambridge_RARE: 2019-05-27,71926163,S,3,4,4,1,SG: <3 consecutive bursts,FALSE
50,33230,21624,Earl_Rowe_PP: 2019-05-28,68228952,N,44,6,6,2,SG: <3 consecutive bursts,TRUE
50,33230,21624,Forks_of_the_Credit: 2019-05-28,55104167,N,414,9,7,5,median freqsd of run > 0.05 kHz,TRUE
50,33230,21624,Forks_of_the_Credit: 2019-05-28,71367256,N,414,9,7,5,median freqsd of run > 0.05 kHz,FALSE
50,33230,21624,UWO - SSC: 2019-05-28,57520767,E,266,12,12,5,hit with high freqSD,TRUE
50,33230,21624,Marthaville_CA: 2019-05-28,55101839,W,469,7,7,2,SG: <3 consecutive bursts,TRUE
50,33230,21624,Marthaville_CA: 2019-05-28,75983616,W,469,7,7,2,SG: <3 consecutive bursts,FALSE
52,33232,21626,Wheeler Fire Tower: 2019-05-30,58086437,N,NA,51,4,2,SG: <3 consecutive bursts,TRUE
52,33232,21626,Wheeler Fire Tower: 2019-05-30,63093445,N,NA,51,4,2,SG: <3 consecutive bursts,TRUE
52,33232,21626,Wheeler Fire Tower: 2019-05-30,58086439,N,NA,51,6,2,SG: <3 consecutive bursts,TRUE
52,33232,21626,Wheeler Fire Tower: 2019-05-30,63093447,N,NA,51,6,2,SG: <3 consecutive bursts,TRUE
52,33232,21626,Wheeler Fire Tower: 2019-05-30,58086440,S,157,21,5,3,excessive burstSlop,TRUE
52,33232,21626,Wheeler Fire Tower: 2019-05-30,63093448,S,157,21,5,3,excessive burstSlop,TRUE
52,33232,21626,Wheeler Fire Tower: 2019-05-30,58086443,N,NA,51,6,6,excessive burstSlop,TRUE
52,33232,21626,Wheeler Fire Tower: 2019-05-30,63093451,N,NA,51,6,6,excessive burstSlop,TRUE
52,33232,21626,Wheeler Fire Tower: 2019-05-30,58086442,S,157,21,6,6,excessive burstSlop,TRUE
