motusTagID,spp,age,tagDeployID,tagDeployStart,tagDepLat,tagDepLon,min_depart,max_depart,departure_notes
33226,Ruddy Turnstone,ad,21620,2019-05-22T17:00:00Z,32.0662,-80.8931,2019-05-22,2019-05-22,
33227,Ruddy Turnstone,ad,21621,2019-05-22T17:00:00Z,32.0662,-80.8931,2019-05-22,2019-05-25,
33228,Ruddy Turnstone,ad,21622,2019-05-22T17:00:00Z,32.0662,-80.8931,,,No northbound detections
33229,Ruddy Turnstone,ad,21623,2019-05-22T17:00:00Z,32.0662,-80.8931,2019-05-25,2019-05-25,
33230,Ruddy Turnstone,ad,21624,2019-05-22T17:00:00Z,32.0662,-80.8931,2019-05-22,2019-05-26,
33232,Ruddy Turnstone,ad,21626,2019-05-22T17:00:00Z,32.0662,-80.8931,2019-05-22,2019-05-29,
33233,Ruddy Turnstone,ad,21627,2019-05-22T17:00:00Z,32.0662,-80.8931,2019-05-22,2019-05-28,
33239,Ruddy Turnstone,ad,21633,2019-05-22T17:00:00Z,32.0662,-80.8931,2019-05-22,2019-05-27,
33873,Ruddy Turnstone,ad,21945,2019-05-22T17:00:00Z,32.0662,-80.8931,2019-05-23,2019-05-23,
33874,Ruddy Turnstone,ad,21946,2019-05-22T17:00:00Z,32.0662,-80.8931,2019-05-22,2019-05-22,
33875,Ruddy Turnstone,ad,21947,2019-05-21T16:30:00Z,32.0662,-80.8931,2019-05-21,2019-05-22,
33876,Ruddy Turnstone,ad,21948,2019-05-21T16:30:00Z,32.0662,-80.8931,2019-05-21,2019-05-25,
33882,Ruddy Turnstone,ad,21954,2019-05-22T16:30:00Z,32.0662,-80.8931,2019-05-22,2019-05-25,
34136,Ruddy Turnstone,ad,22121,2019-05-22T17:00:00Z,32.0662,-80.8931,2019-06-02,2019-06-02,
34137,Ruddy Turnstone,ad,22122,2019-05-22T17:00:00Z,32.0662,-80.8931,2019-05-22,2019-05-22,
34139,Ruddy Turnstone,ad,22124,2019-05-22T17:00:00Z,32.0662,-80.8931,2019-05-22,2019-05-25,
34141,Ruddy Turnstone,ad,22126,2019-05-22T17:00:00Z,32.0662,-80.8931,2019-05-22,2019-05-22,
34144,Ruddy Turnstone,ad,22129,2019-05-22T17:00:00Z,32.0662,-80.8931,2019-05-22,2019-05-25,
34147,Ruddy Turnstone,ad,22132,2019-05-22T17:00:00Z,32.0662,-80.8931,2019-05-22,2019-05-30,
