motusTagID,spp,age,tagDeployID,start_recvSiteName,start_recvDeployID,start_recvDeployLat,start_recvDeployLon,start_time,end_recvSiteName,end_recvDeployID,end_recvDeployLat,end_recvDeployLon,end_time,traj_len,traj_net_disp,traj_dur_h,traj_straightness,groundspeed_net,groundspeed_traj,brng_init,uwind,vwind,tailwind,keep,notes
28482,Ruddy Turnstone,ad,19548,Tower Farm,4352,40.4044,-76.6822,2018-05-29T01:00:02Z,Brighton,3051,44.0128,-77.7452,2018-05-29T08:10:04Z,411412.3702,410300.9419,7.16724025,0.997298506,15.90186458,15.94493975,348.0016436,0,3.800003,3.716986479,TRUE,
28482,Ruddy Turnstone,ad,19548,D2 Pine Tree,4362,40.4263,-76.7224,2018-05-29T01:00:02Z,Brighton,3051,44.0128,-77.7452,2018-05-29T08:10:04Z,407222.1948,407222.1948,7.16724025,1,15.78254285,15.78254285,348.3733785,0,3.800003,3.722033461,FALSE,shorter subset
28484,Ruddy Turnstone,ad,19550,"Santee NWR, SC",4446,33.5338,-80.4313,2018-05-28T23:46:14Z,Kalamazoo Nature Center,4666,42.364,-85.5895,2018-05-29T11:51:57Z,1089962.905,1079346.353,12.09538542,0.990259712,24.7878361,25.03165159,336.7318222,-3,7,7.615767489,TRUE,
28485,Ruddy Turnstone,ad,19551,PARC SGL223,4607,39.772,-80.006,2018-05-26T07:41:11Z,Earl_Rowe_PP,3992,44.1484,-79.9029,2018-05-26T15:06:40Z,521083.155,486173.0488,7.424618889,0.933004731,18.18922575,19.49531996,0.973093636,2.699997,5.099991,5.145109184,TRUE,
28485,Ruddy Turnstone,ad,19551,SGL 143,4213,41.8787,-79.4567,2018-05-26T10:28:16Z,Earl_Rowe_PP,3992,44.1484,-79.9029,2018-05-26T15:06:40Z,282587.0462,254757.6137,4.639927972,0.901519079,15.25153067,16.91759057,351.942647,2.300003,1.5,1.162814108,FALSE,shorter subset
28485,Ruddy Turnstone,ad,19551,SGL 154,4214,41.997,-79.7017,2018-05-26T10:55:27Z,Earl_Rowe_PP,3992,44.1484,-79.9029,2018-05-26T15:06:40Z,258389.6566,239569.1062,4.186918778,0.927162137,15.89402075,17.14265512,356.1463554,2.300003,1.5,1.342029665,FALSE,shorter subset
28485,Ruddy Turnstone,ad,19551,Westfield (Correll),4595,42.3087,-79.6467,2018-05-26T11:33:26Z,Earl_Rowe_PP,3992,44.1484,-79.9029,2018-05-26T15:06:40Z,223469.8207,205442.5553,3.553779194,0.919330202,16.05822234,17.46730643,354.2729385,2.300003,1.5,1.262996178,FALSE,shorter subset
28486,Ruddy Turnstone,ad,19552,Stutchbury,4215,41.7859,-79.9504,2018-05-26T09:01:47Z,New_Farm,3991,44.2884,-80.2239,2018-05-26T13:19:24Z,372193.753,278902.9308,4.2938325,0.749348769,18.04286411,24.07805931,355.509424,2.300003,1.5,1.315316324,TRUE,
28486,Ruddy Turnstone,ad,19552,PresqueIsle,2988,42.1098,-80.1541,2018-05-26T09:29:40Z,New_Farm,3991,44.2884,-80.2239,2018-05-26T13:19:24Z,332449.3546,242101.7768,3.829107,0.728236567,17.56297057,24.1171226,358.6810856,2.300003,1.5,1.446662588,FALSE,shorter subset
28486,Ruddy Turnstone,ad,19552,Breakwater,2153,42.5611,-80.2844,2018-05-26T10:08:03Z,New_Farm,3991,44.2884,-80.2239,2018-05-26T13:19:24Z,281181.5616,191967.6805,3.1894175,0.682717883,16.71915191,24.48910791,1.441636051,2.300003,1.5,1.557390156,FALSE,shorter subset
28486,Ruddy Turnstone,ad,19552,Turkey Point,3121,42.7102,-80.3573,2018-05-26T10:26:55Z,New_Farm,3991,44.2884,-80.2239,2018-05-26T13:19:24Z,263572.337,175673.9985,2.874794917,0.666511518,16.97454404,25.46774298,3.475255157,2.300003,1.5,1.636661947,FALSE,shorter subset
28486,Ruddy Turnstone,ad,19552,Werden,4150,42.7551,-80.2724,2018-05-26T10:27:43Z,New_Farm,3991,44.2884,-80.2239,2018-05-26T13:19:24Z,255012.3413,170399.4505,2.861656917,0.6682008,16.54048059,24.75375754,1.301905173,2.300003,1.5,1.551870176,FALSE,shorter subset
28486,Ruddy Turnstone,ad,19552,Waterford_Quarry,3953,42.9155,-80.3107,2018-05-26T10:39:00Z,New_Farm,3991,44.2884,-80.2239,2018-05-26T13:19:24Z,236920.3798,152696.456,2.673524194,0.644505365,15.86508261,24.61590464,2.600746954,2.300003,1.5,1.60281993,FALSE,shorter subset
28490,Ruddy Turnstone,ad,19556,PARC SGL223,4607,39.772,-80.006,2018-05-31T06:50:01Z,Priceville,3989,44.2082,-80.6122,2018-05-31T23:39:27Z,666291.3925,495294.7034,16.82387003,0.743360501,8.177777279,11.00109202,354.3806507,-1.300003,8,8.088850091,TRUE,
28490,Ruddy Turnstone,ad,19556,PARC CMNH,4199,40.4429,-79.9498,2018-05-31T07:28:00Z,Priceville,3989,44.2082,-80.6122,2018-05-31T23:39:27Z,591642.7792,421794.2435,16.19071853,0.712920462,7.236557626,10.15058202,352.7842165,-1.300003,8,8.099929968,FALSE,shorter subset
28490,Ruddy Turnstone,ad,19556,Stutchbury,4215,41.7859,-79.9504,2018-05-31T08:36:05Z,Priceville,3989,44.2082,-80.6122,2018-05-31T23:39:27Z,442494.3822,274455.4707,15.05623244,0.620246226,5.063526419,8.163735955,348.8848857,-3.300003,8.800003,9.27110845,FALSE,shorter subset
28490,Ruddy Turnstone,ad,19556,Lakeview landfill,4605,42.0628,-80.0168,2018-05-31T08:50:53Z,Priceville,3989,44.2082,-80.6122,2018-05-31T23:39:27Z,411249.2683,243215.5332,14.80952217,0.591406604,4.561921011,7.713679521,348.7141531,-3.300003,8.800003,9.275661099,FALSE,shorter subset
28490,Ruddy Turnstone,ad,19556,Long_Point_Tip,4256,42.5487,-80.0507,2018-05-31T09:09:28Z,Priceville,3989,44.2082,-80.6122,2018-05-31T23:39:27Z,357203.5356,189901.5913,14.49961372,0.531634131,3.638058437,6.843161909,346.3285648,-1,8.399994,8.398351351,FALSE,shorter subset
28490,Ruddy Turnstone,ad,19556,Werden,4150,42.7551,-80.2724,2018-05-31T09:40:00Z,Priceville,3989,44.2082,-80.6122,2018-05-31T23:39:27Z,327942.7229,163766.2869,13.99090533,0.499374663,3.251443288,6.511029746,350.4530844,-1,8.399994,8.449510283,FALSE,shorter subset
